Name,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12 Sacramento Kings,241.1,37.7,86.5,0.436,6.2,19.7,0.316,31.5,66.8,0.471,17.1,23.2,0.736,13.4,29.5,42.9,19.3,8.5,4.9,14.4,19.5,98.8
2010-11 Sacramento Kings,242.1,38.2,85.1,0.449,5.2,15.6,0.335,33.0,69.5,0.475,17.7,24.2,0.734,13.1,30.8,43.9,20.4,7.4,4.8,16.1,22.0,99.4
2009-10 Sacramento Kings,242.4,38.3,84.1,0.456,5.9,16.9,0.349,32.5,67.2,0.483,17.4,24.0,0.726,11.9,30.7,42.6,20.5,6.9,4.5,15.0,22.3,100.0
2008-09 Sacramento Kings,242.7,36.5,81.5,0.447,7.1,19.4,0.368,29.3,62.1,0.472,20.5,25.7,0.798,10.2,28.9,39.1,19.7,6.9,4.3,15.4,23.3,100.6
2007-08 Sacramento Kings,241.8,37.1,80.0,0.464,6.2,16.7,0.373,30.9,63.3,0.488,22.1,27.7,0.798,10.1,30.0,40.1,19.1,7.9,4.1,16.1,22.4,102.5
2006-07 Sacramento Kings,241.5,35.9,79.7,0.45,6.5,18.5,0.35,29.4,61.2,0.48,23.1,30.2,0.765,9.7,29.2,38.9,20.3,8.2,3.2,14.6,21.9,101.3
2005-06 Sacramento Kings,241.8,36.0,79.3,0.454,6.0,17.2,0.351,30.0,62.1,0.483,20.8,26.5,0.784,10.4,30.2,40.5,22.3,7.4,3.6,14.6,20.4,98.9
2004-05 Sacramento Kings,242.1,39.1,85.1,0.459,6.4,17.0,0.374,32.7,68.1,0.48,19.2,24.4,0.787,12.5,29.9,42.4,24.5,8.2,3.9,13.1,20.5,103.7
2003-04 Sacramento Kings,241.2,37.8,81.8,0.462,7.3,18.3,0.401,30.5,63.6,0.48,19.8,24.9,0.795,10.8,30.4,41.2,26.2,8.7,4.0,13.9,19.3,102.8
2002-03 Sacramento Kings,241.8,39.5,85.2,0.464,6.0,15.7,0.381,33.5,69.5,0.482,16.7,22.3,0.746,11.0,33.5,44.5,24.8,9.0,5.6,14.5,20.3,101.7
2001-02 Sacramento Kings,240.9,39.8,85.4,0.467,5.2,14.1,0.367,34.6,71.3,0.486,19.7,26.3,0.751,12.4,33.0,45.3,23.9,9.0,4.6,13.8,19.0,104.6
2000-01 Sacramento Kings,244.9,38.2,85.0,0.449,5.8,16.5,0.354,32.4,68.5,0.472,19.5,25.3,0.771,12.0,33.0,45.0,22.6,9.7,5.3,14.9,19.5,101.7
1999-00 Sacramento Kings,241.5,40.0,88.9,0.45,6.5,20.2,0.322,33.4,68.7,0.487,18.5,24.6,0.754,12.9,32.1,45.0,23.8,9.6,4.6,16.2,21.1,105.0
1998-99 Sacramento Kings,244.0,38.4,86.1,0.445,5.8,18.9,0.308,32.6,67.3,0.484,17.7,25.9,0.683,14.1,31.5,45.6,22.6,8.9,4.6,16.8,20.3,100.2
1997-98 Sacramento Kings,240.6,36.1,81.5,0.442,3.5,9.8,0.351,32.6,71.7,0.455,17.6,25.6,0.687,13.3,28.1,41.4,22.4,7.3,5.1,15.5,22.1,93.1
1996-97 Sacramento Kings,242.1,36.6,80.6,0.454,5.0,12.9,0.391,31.5,67.7,0.466,18.2,25.2,0.723,13.4,28.1,41.5,21.9,7.2,4.4,16.2,23.7,96.4
1995-96 Sacramento Kings,240.9,36.2,79.2,0.457,5.6,14.6,0.387,30.6,64.6,0.473,21.5,29.4,0.731,13.6,28.6,42.2,22.3,7.8,5.3,17.6,26.0,99.5
1994-95 Sacramento Kings,242.1,36.9,78.8,0.468,4.4,12.6,0.346,32.5,66.2,0.491,20.1,28.3,0.711,13.1,28.4,41.4,22.2,7.9,5.6,17.7,24.9,98.2
1993-94 Sacramento Kings,240.9,38.8,85.7,0.452,3.1,8.9,0.353,35.6,76.8,0.464,20.4,28.0,0.731,13.7,28.6,42.3,24.7,8.2,4.3,16.3,24.1,101.1
1992-93 Sacramento Kings,241.2,41.0,88.6,0.463,3.2,9.6,0.332,37.8,79.0,0.478,22.7,29.8,0.762,13.9,27.8,41.7,25.3,9.4,4.2,16.6,25.4,107.9
1991-92 Sacramento Kings,241.8,40.8,87.7,0.466,2.9,8.2,0.353,37.9,79.4,0.477,19.7,26.4,0.747,12.9,28.7,41.6,23.9,8.9,7.5,16.6,21.5,104.3
1990-91 Sacramento Kings,240.3,37.6,83.1,0.453,2.6,7.0,0.374,35.0,76.1,0.46,18.8,25.7,0.732,12.5,27.0,39.6,24.3,7.7,6.3,15.5,25.3,96.7
1989-90 Sacramento Kings,240.9,40.3,86.0,0.468,2.6,7.9,0.333,37.7,78.1,0.482,18.5,24.0,0.771,11.6,28.8,40.4,25.0,6.7,4.8,15.1,22.7,101.7
1988-89 Sacramento Kings,241.2,41.0,89.6,0.457,3.7,10.0,0.373,37.3,79.6,0.468,19.8,25.7,0.77,13.9,29.9,43.8,24.0,7.6,5.0,16.7,22.9,105.5
1987-88 Sacramento Kings,241.2,42.2,89.5,0.471,1.8,5.5,0.32,40.4,84.0,0.481,21.9,28.3,0.772,15.0,30.0,45.0,25.8,7.1,6.0,17.8,23.1,108.0
1986-87 Sacramento Kings,241.2,43.0,90.4,0.475,0.9,3.7,0.251,42.0,86.7,0.485,24.1,30.2,0.796,15.6,29.8,45.4,26.6,6.3,4.8,17.1,24.5,110.9
1985-86 Sacramento Kings,241.2,43.1,88.0,0.49,0.4,1.6,0.224,42.8,86.4,0.495,22.2,28.5,0.778,13.8,29.0,42.8,28.1,7.3,4.7,18.7,26.0,108.8
2023-24 San Antonio Spurs,241.8,41.9,90.7,0.462,12.6,36.4,0.347,29.3,54.3,0.539,15.6,20.0,0.782,10.4,33.9,44.2,29.9,7.1,6.3,15.1,17.2,112.1
2022-23 San Antonio Spurs,242.1,43.1,92.6,0.465,11.1,32.2,0.345,32.0,60.4,0.529,15.8,21.2,0.743,11.8,31.9,43.7,27.2,7.0,3.9,15.3,19.9,113.0
2021-22 San Antonio Spurs,241.5,43.2,92.7,0.467,11.3,32.0,0.352,32.0,60.7,0.527,15.4,20.4,0.754,11.0,34.3,45.3,27.9,7.6,4.9,12.7,18.1,113.2
2020-21 San Antonio Spurs,242.8,41.9,90.5,0.462,9.9,28.4,0.35,31.9,62.1,0.514,17.4,22.0,0.792,9.3,34.6,43.9,24.4,7.0,5.1,11.4,18.0,111.1
2019-20 San Antonio Spurs,242.5,42.2,89.4,0.472,10.7,28.5,0.376,31.5,61.0,0.516,19.0,23.4,0.81,9.0,35.6,44.6,24.7,7.3,5.5,12.6,19.4,114.1
2018-19 San Antonio Spurs,241.5,42.3,88.4,0.478,9.9,25.3,0.392,32.4,63.1,0.513,17.2,21.0,0.819,9.2,35.5,44.7,24.5,6.1,4.7,12.1,18.1,111.7
2017-18 San Antonio Spurs,240.6,39.0,85.4,0.457,8.5,24.1,0.352,30.6,61.2,0.499,16.1,20.9,0.772,10.4,33.9,44.2,22.8,7.7,5.6,13.1,17.2,102.7
2016-17 San Antonio Spurs,241.5,39.3,83.7,0.469,9.2,23.5,0.391,30.1,60.2,0.5,17.6,22.0,0.797,10.0,33.9,43.9,23.8,8.0,5.9,13.4,18.3,105.3
2015-16 San Antonio Spurs,240.3,40.1,82.9,0.484,7.0,18.5,0.375,33.2,64.4,0.515,16.4,20.4,0.803,9.4,34.5,43.9,24.5,8.3,5.9,13.1,17.5,103.5
2014-15 San Antonio Spurs,243.4,39.1,83.6,0.468,8.3,22.5,0.367,30.9,61.1,0.505,16.7,21.4,0.78,9.8,33.8,43.6,24.4,8.0,5.4,14.0,19.1,103.2
2013-14 San Antonio Spurs,240.9,40.6,83.5,0.486,8.5,21.4,0.397,32.0,62.0,0.517,15.7,20.0,0.785,9.3,34.0,43.3,25.2,7.4,5.1,14.4,18.2,105.4
2012-13 San Antonio Spurs,242.4,39.1,81.4,0.481,8.1,21.5,0.376,31.1,59.9,0.519,16.6,21.0,0.791,8.1,33.2,41.3,25.1,8.5,5.4,14.7,17.4,103.0
2011-12 San Antonio Spurs,241.5,39.6,82.8,0.478,8.4,21.3,0.393,31.2,61.5,0.507,16.2,21.6,0.748,10.3,32.6,43.0,23.2,7.4,4.4,13.6,17.3,103.7
